snapshot_date,sku,warehouse_id,on_hand_qty,allocated_qty
2026-09-05,BAT017,WH02,87,12
2026-09-05,BAT018,WH01,97,14
2026-09-05,BAT018,WH02,129,8
2026-09-05,BAT019,WH01,131,6
2026-09-05,BAT019,WH02,149,10
2026-09-05,BAT020,WH01,121,18
2026-09-05,BAT020,WH02,127,17
2026-09-05,BAT021,WH01,99,0
2026-09-05,BAT021,WH02,94,3
2026-09-05,BAT022,WH01,138,4
2026-09-05,BAT022,WH02,65,5
2026-09-05,BAT023,WH01,111,11
2026-09-05,BAT023,WH02,145,8
2026-09-05,BAT024,WH01,71,1
2026-09-05,BAT024,WH02,40,7
2026-09-05,BAT025,WH01,142,10
2026-09-05,BAT025,WH02,139,2
2026-09-05,BAT026,WH01,50,17
2026-09-05,BAT026,WH02,51,1
2026-09-05,BAT027,WH01,84,19
2026-09-05,BAT027,WH02,116,2
2026-09-05,BAT028,WH01,132,17
2026-09-05,BAT028,WH02,128,18
2026-09-05,BAT029,WH01,66,20
2026-09-05,BAT029,WH02,75,16
2026-09-05,BAT030,WH01,104,16
2026-09-05,BAT030,WH02,109,13
2026-09-06,BAT001,WH01,108,16
2026-09-06,BAT001,WH02,122,2
2026-09-06,BAT002,WH01,131,11
2026-09-06,BAT002,WH02,75,10
2026-09-06,BAT003,WH01,147,18
2026-09-06,BAT003,WH02,132,9
2026-09-06,BAT004,WH01,127,8
2026-09-06,BAT004,WH02,116,13
2026-09-06,BAT005,WH01,67,5
2026-09-06,BAT005,WH02,46,2
2026-09-06,BAT006,WH01,88,10
2026-09-06,BAT006,WH02,58,8
2026-09-06,BAT007,WH01,107,4
2026-09-06,BAT007,WH02,77,7
2026-09-06,BAT008,WH01,96,7
2026-09-06,BAT008,WH02,121,6
2026-09-06,BAT009,WH01,88,7
2026-09-06,BAT009,WH02,60,14
2026-09-06,BAT010,WH01,66,6
2026-09-06,BAT010,WH02,127,19
2026-09-06,BAT011,WH01,114,19
2026-09-06,BAT011,WH02,134,10
2026-09-06,BAT012,WH01,125,6
2026-09-06,BAT012,WH02,91,11
2026-09-06,BAT013,WH01,146,17
2026-09-06,BAT013,WH02,94,13
2026-09-06,BAT014,WH01,62,16
2026-09-06,BAT014,WH02,101,11
2026-09-06,BAT015,WH01,125,13
2026-09-06,BAT015,WH02,48,6
2026-09-06,BAT016,WH01,59,15
2026-09-06,BAT016,WH02,43,4
2026-09-06,BAT017,WH01,106,14
2026-09-06,BAT017,WH02,95,18
2026-09-06,BAT018,WH01,142,2
2026-09-06,BAT018,WH02,145,12
2026-09-06,BAT019,WH01,110,1
2026-09-06,BAT019,WH02,109,15
2026-09-06,BAT020,WH01,104,1
2026-09-06,BAT020,WH02,98,19
2026-09-06,BAT021,WH01,120,2
2026-09-06,BAT021,WH02,146,20
2026-09-06,BAT022,WH01,58,16
2026-09-06,BAT022,WH02,85,12
2026-09-06,BAT023,WH01,89,16
2026-09-06,BAT023,WH02,150,16
2026-09-06,BAT024,WH01,143,19
2026-09-06,BAT024,WH02,50,5
2026-09-06,BAT025,WH01,120,12
2026-09-06,BAT025,WH02,45,1
2026-09-06,BAT026,WH01,97,12
2026-09-06,BAT026,WH02,58,3
2026-09-06,BAT027,WH01,54,11
2026-09-06,BAT027,WH02,40,12
2026-09-06,BAT028,WH01,92,9
2026-09-06,BAT028,WH02,115,10
2026-09-06,BAT029,WH01,120,16
2026-09-06,BAT029,WH02,142,16
2026-09-06,BAT030,WH01,97,10
2026-09-06,BAT030,WH02,66,12
2026-09-07,BAT001,WH01,55,19
2026-09-07,BAT001,WH02,133,2
2026-09-07,BAT002,WH01,127,2
2026-09-07,BAT002,WH02,120,1
2026-09-07,BAT003,WH01,94,13
2026-09-07,BAT003,WH02,120,8
2026-09-07,BAT004,WH01,142,16
2026-09-07,BAT004,WH02,63,14
2026-09-07,BAT005,WH01,121,7
2026-09-07,BAT005,WH02,121,18
2026-09-07,BAT006,WH01,130,16
2026-09-07,BAT006,WH02,110,5
2026-09-07,BAT007,WH01,128,7
2026-09-07,BAT007,WH02,99,6
2026-09-07,BAT008,WH01,74,3
2026-09-07,BAT008,WH02,146,3
2026-09-07,BAT009,WH01,49,19
2026-09-07,BAT009,WH02,101,9
2026-09-07,BAT010,WH01,121,8
2026-09-07,BAT010,WH02,54,15
2026-09-07,BAT011,WH01,59,11
2026-09-07,BAT011,WH02,145,19
2026-09-07,BAT012,WH01,80,16
2026-09-07,BAT012,WH02,108,10
2026-09-07,BAT013,WH01,55,7
2026-09-07,BAT013,WH02,112,20
2026-09-07,BAT014,WH01,40,15
2026-09-07,BAT014,WH02,133,19
2026-09-07,BAT015,WH01,87,2
2026-09-07,BAT015,WH02,70,17
2026-09-07,BAT016,WH01,137,13
2026-09-07,BAT016,WH02,53,2
2026-09-07,BAT017,WH01,93,12
2026-09-07,BAT017,WH02,43,14
2026-09-07,BAT018,WH01,100,0
2026-09-07,BAT018,WH02,50,9
2026-09-07,BAT019,WH01,120,17
2026-09-07,BAT019,WH02,87,6
2026-09-07,BAT020,WH01,147,9
2026-09-07,BAT020,WH02,75,9
2026-09-07,BAT021,WH01,41,6
2026-09-07,BAT021,WH02,97,19
2026-09-07,BAT022,WH01,121,16
2026-09-07,BAT022,WH02,100,2
2026-09-07,BAT023,WH01,83,20
2026-09-07,BAT023,WH02,44,18
2026-09-07,BAT024,WH01,115,5
2026-09-07,BAT024,WH02,126,17
2026-09-07,BAT025,WH01,44,2
2026-09-07,BAT025,WH02,113,20
2026-09-07,BAT026,WH01,42,13
2026-09-07,BAT026,WH02,55,13
2026-09-07,BAT027,WH01,109,1
2026-09-07,BAT027,WH02,115,18
2026-09-07,BAT028,WH01,135,0
2026-09-07,BAT028,WH02,67,5
2026-09-07,BAT029,WH01,90,3
2026-09-07,BAT029,WH02,134,16
2026-09-07,BAT030,WH01,129,4
2026-09-07,BAT030,WH02,41,19
